i,t,m,Aceite Vegetal,Aguacates,Ahí Verde,Ajo,Alimento Infantil,Apio,Arroz,Arvejas,Azúcar,Café Y Té,Carne De Res,Carnes De Puerco,Cebolla,Cereales Y Cremas,Cervezas,Chocolates,Cigarrillo Y Tabaco,Cocos (Pipas),Condimentos,"Culanto, Perejil, Cebollina",Embutidos,Enlatados Y Envasados,Frijoles,Galletas / Pasteles Y Dulces,Gelatinas,Guineos (Bananos),Harina De Trigo,Helados,Huevos De Gallina,Lecha Evaporada,Leche En Polvo,Leche Líquida,Lechuga,Lentejas,Licores Varios,Limones,Mangos,Manteca,Mantequilla,Manzanas,Margarina,Mariscos,Mayonesa,Maíz De Grano,Maíz De Mazorca,Melones,Miel,Naranjas,Otoes,Otros,Pan De Sal Y Pan De Dulce,"Panela, Raspadura, Etc",Papas,Papayas,Pastas Alimenticias,Pastas De Tomate,Pastillas Y Confites,Pepino,Pescados,Picaritas,Piñas,Plátanos Verdes,Pollo O Gallina,Porotos,Preparación De Maíz,Primer otro,Queso (Blanco Y Amarillo),Raspados Y Duros,Remolacha,Repollo,Sal,Sandias,Sardina Y Atún,Segundo otro,"Sodas, Refrescos Y Jugos",Sopa Enlatada,Tercer otro,Tomate,Viscera De Res,Visceras De Pollo O Gallina,Yuca,Zanahoria,Zapallo / Chayote,Ñame
20085752,2008,Panamá,,,,0.5,,0.25,2.5,,0.6,2.5,5,,1,3.03,,,,,0.25,0.5,5.49,0.59,,1.6,,0.3,0.55,,1.49,1.35,,3.8,0.6,,,,,,,1.75,2,,,,,,,,,,6.2,,,,0.9,1.9,,,,,,2,6.25,,0.6,,3.5,,,,,1,1.5,,2.9,0.8,,,,,,,,
20085754,2008,Panamá,1.4,,,0.25,,,5,,1.65,1.1,4,,0.6,,,,,,,,,,,,,0.3,0.4,,1,0.9,6.5,6,,,,,,,0.35,,,,1.35,,,,,,,,12,,1,,1.1,1.45,,,,,0.25,1.2,8.8,,,,1,,,,,,0.65,,,1.34,,1,,,1,0.35,,
20085755,2008,Panamá,4.7,,0.4,0.5,,,4.7,0.89,1.65,,4.54,,0.6,2.87,,,,0.5,0.5,0.5,2.1,1.96,0.89,,,0.9,,,1.3,,,0.95,,0.89,,,,,1.15,,,,1.65,,,,,,,,5.94,,1,,1.11,2.85,,,,,,2.25,5.5,0.89,,,4,,,,,0.5,2.78,,1.9,0.67,,0.8,,,0.22,0.5,,0.6
20085756,2008,Panamá,,,,0.3,,0.5,2.5,,0.37,,5,,2,1.49,,,,,0.5,,2.77,2.47,,1.25,0.49,0.3,,,0.8,2.76,,2.85,,,,0.5,,,1.1,1.2,,3,1.65,,1.25,0.6,,,1.8,,4,,2.32,0.5,0.59,5.29,,,,,,2,12,,0.6,,1.79,,,,,,0.79,,2.94,1.2,,4,,,,0.8,,
20085757,2008,Panamá,,,0.4,1.5,,,2.5,,0.28,1.4,3.6,,0.6,0.88,,,,,0.25,,1.49,0.4,,0.6,,,0.4,,,2.37,,0.95,,,,,0.5,,,0.6,,,,,0.3,,,,,,2.08,,1,,0.55,1.35,,,,,,0.6,3.3,,,,1.1,,,,,,0.65,,0.9,0.4,,0.6,,,,,,
20085758,2008,Panamá,,,0.7,,,1,2.5,1.1,0.6,,8.4,1.8,1,4.15,,,,,0.5,0.5,1.4,2.43,1.3,2,,0.3,0.82,,1.34,3.15,,15,,1.3,,,,,1.1,,0.3,,1.25,,1.4,0.5,,,0.75,,5.25,,1,1,1.55,,,,6,,0.5,2.2,16.5,1.7,1.2,,6.68,,,0.5,,,2.15,,4.25,0.4,,2.4,,,,2,,3
20085759,2008,Panamá,3.65,0.8,0.8,0.5,,0.5,5,,0.8,0.8,16.12,,0.5,2.89,,,,,0.2,0.5,,,,1.29,0.53,0.3,1.11,,,,3.2,2,,1,,,,,1.75,,,,0.75,,,,,,,,6,,1.2,,1.3,1.89,,,,,,1,3.3,1,2.2,,2.5,,,,0.5,,0.9,,3.6,0.8,,2.4,,,,0.7,,
2008576,2008,Coclé,1.95,,0.25,0.33,,0.5,6.75,,1.52,1.8,6,,0.35,,5.4,,,,0.1,0.25,2.23,,0.38,,,0.25,0.6,0.95,1.5,,,,,0.58,,,,,0.25,,,,0.52,,,,,,,,2,,0.4,,0.75,0.5,,,3,,,0.6,4.4,0.68,1,,1.95,,0.3,,0.25,,,,,0.4,,0.5,1.75,,0.35,0.4,,0.6
20085760,2008,Panamá,3.7,,0.5,0.6,,0.5,2.5,0.6,1.75,0.5,4,,0.9,1.5,,,,0.25,0.5,0.5,1.2,,2,1.59,,0.15,0.45,,1,4.5,,5.7,,1.3,,,0.25,,0.99,0.5,,,1.5,,0.25,,,,,,6.3,,1.35,,1,1,,,3,,0.5,0.45,6.6,2,1.5,,1.6,,,0.6,,,1.44,,2.25,,,1,,,,0.5,0.2,0.5
20085761,2008,Panamá,,,,,,,2.5,,,,2.1,,,0.99,,,,,,,1.15,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,2.18,,,,0.58,,,,,,,,5.5,,0.6,,,,,,,,1.15,,1.9,,,,,,,,,
20085762,2008,Panamá,3.68,,0.3,0.6,,0.25,5,,0.8,,8,2.5,0.6,1.53,,,,,0.5,0.25,3,1.2,,0.6,0.59,0.6,,,1.49,,,9.5,,0.65,,0.5,,,0.84,,,,1.53,,,,,,,,8.58,,4,,1.11,1.79,,0.4,,,,0.8,5.5,1,2.2,,3,,,0.55,0.49,,1.3,,1.8,1.36,,0.8,,,,0.45,,
20085763,2008,Panamá,2.1,,0.5,0.45,,0.5,12.5,,0.7,1.4,2.1,1.7,0.6,2.55,,,,,0.25,1,7.2,1.9,1.3,1.5,,,0.55,,,0.8,,7.6,,1.6,,,,,0.9,,,,,,0.25,,,,,,6.54,,1,,0.53,1.34,,,,,,0.8,3.3,1.8,0.6,,,,,,,,1.38,,3.3,1.34,,0.8,,,,0.6,,
20085764,2008,Panamá,3.49,,0.5,0.4,,0.5,9.52,,1.6,0.55,6.6,3.96,0.6,2.59,12,,,,0.25,0.5,5.1,1.28,0.4,0.3,0.53,0.3,0.38,,1,1.8,,2,,0.9,,,,,0.89,,,,1.65,,0.5,,,,,,7.49,,1,,1.06,1.37,,,,,,2,5.2,0.8,0.65,,1.6,,,,0.2,,1.35,,2.4,0.38,,1,,,,0.4,,
20085765,2008,Panamá,3.45,1,1.6,1,,,2.8,,1.7,,2.85,,1.6,4.95,,,,,0.5,,1.3,,,2,0.45,0.6,0.8,,1.28,2.4,,3,1.2,0.7,,,0.25,,2,0.6,,,,,1,0.5,,,,,0.8,,3,1.5,1.3,1.4,,,5.4,,2,3.2,3,,0.55,,2.5,,,,0.35,0.25,2.7,,3,,,2.4,,,1.5,2.11,1.5,
20085766,2008,Panamá,1.87,,0.5,0.3,,,2.5,,,3,1.8,,0.6,,,,,,0.1,0.5,1.45,,,,,,,,1,0.9,,,,0.65,,,0.5,,,,,,3.1,,0.3,,,,,,6,,1,,,0.5,,,,,1,3,7.7,1.7,0.6,,,,,,,,0.9,,,1,,0.3,,,,0.4,,
20085767,2008,Panamá,4.5,,0.5,0.5,,0.5,5,,1.68,2,5,,0.6,2.38,,,,,0.25,0.5,2.75,,1.2,,,0.3,0.6,,1.36,2.25,31.7,,,0.8,,,0.25,,,0.5,,,1.65,,0.35,,,,,,7.2,,1,,2.4,1.8,,,,,0.35,1.6,5,1.25,1.4,,2.5,,,,0.49,,2.52,,2.25,2.04,,,,,,0.4,0.3,
20085768,2008,Panamá,3.7,,0.5,0.5,,0.25,2.5,,,,2,,0.6,0.89,,,,,0.25,0.5,2.89,0.89,0.6,,,1.05,,,1.4,0.9,,5.7,,0.6,,,,,0.35,0.6,,,1.65,,0.6,,,,,,4.5,,1,,1.76,1.8,,,,,0.7,1,5.5,0.89,0.55,,4.05,,,,,,0.9,,0.8,1,,0.4,,,,0.4,,
20085769,2008,Panamá,3.5,,,,,,5,,,,2.1,,0.5,,,,,,,,2,,,2.25,,0.3,,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,9,,1,,1,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,0.6,,
2008577,2008,Coclé,2.96,,,0.6,,,5.4,,1.85,3.27,7.6,,,0.72,5.4,,,,0.4,,4.46,0.54,,1.95,,0.1,,,1.2,3.15,,1.9,1,,,,,,0.9,,,6.25,1.3,,,,,,0.35,,1,0.35,,,0.6,2,,,3.75,,,0.9,5.04,0.58,2,,3,,,,0.24,,2.1,,,0.75,,,,,,0.25,,1.2
20085770,2008,Panamá,3.85,,0.5,0.5,,0.25,4.68,0.6,1.87,0.59,5.7,,0.9,,,,,,0.25,0.25,2.78,,0.8,,,0.45,,,1.4,4,7.5,7.6,,0.6,,0.5,,,,,,,1.65,,,,,,,,6,,1,,0.4,1.8,,,,,0.5,,5.5,1,0.6,,1.5,,,,,,0.9,,6.6,,,0.4,,,,,,
20085771,2008,Panamá,3.7,,0.25,,,,9.4,,,1.15,2.25,,1,1.59,,,,,0.5,0.25,4.1,,0.69,,,0.45,0.37,,1.65,2.7,6.26,1.9,,0.65,,,,,1,,,,,,0.25,,,,,,6.76,,1,,1.45,2.59,,0.5,,,,1,3.3,0.89,1.1,,2.75,,,,,1,2,,1.69,,,1,,,,0.4,,
20085772,2008,Panamá,4.26,6,0.75,0.5,,0.75,27,,0.72,,10.2,6.8,0.5,1.98,,,,,0.5,0.5,9.29,,0.72,,1.36,1.2,,,,0.78,,2.7,,0.68,,0.5,,,,,0.65,,1.65,,,,,,,,12,,2,,2.2,,,0.5,,6,1,1.8,9.2,0.89,,,2.26,,,0.6,0.21,,3.9,,8.17,,,0.5,,,,0.85,,
20085773,2008,Panamá,1.98,,,0.5,,,9.69,,1.8,0.8,6.8,,0.5,4.04,,,,,,,4.74,,1.44,,,,,,1.5,5.85,3.3,0.95,0.65,1.66,,0.3,,,0.35,,1.12,,2.09,,,,,,,,13.5,,0.4,,1.1,3.43,,0.48,5.1,3,1,0.6,4.6,1.78,1.04,,2.29,,0.51,0.6,0.21,,2.65,,4.2,1.34,,0.5,,,0.35,0.85,,0.64
20085774,2008,Panamá,3.79,4,0.45,0.5,,0.75,9.98,,1.8,3.78,8.5,3.4,0.5,,4.8,,,,1,0.75,3.52,,0.72,2.07,,0.8,,,1.8,1.6,,,0.65,0.68,,0.5,,,1.12,,,,1.65,,,,,0.6,,,7.5,,1,,1.1,4.25,,0.48,,,,,8.05,0.89,,,2.29,,0.51,,0.2,,,,3.5,1.2,,0.5,,,0.35,0.85,,0.64
20085775,2008,Panamá,3.79,2,0.75,1,,0.75,9.69,0.68,1.8,1.09,6.8,,0.5,2.61,,1.12,,,,0.75,3.55,,0.72,1.59,1.7,0.45,0.37,0.9,1.8,,18.5,1.8,0.65,0.83,,,0.25,,,0.6,,,2.09,,,,,,,,9,,1,,,2.39,,0.5,,1.8,,1.2,4.6,0.9,0.96,,1.3,,,0.6,0.21,,1.3,,15.75,3.35,,0.6,,,0.4,0.85,0.36,0.75
20085776,2008,Panamá,3.79,,0.45,0.5,,0.75,10.59,1.36,1.8,2.82,,,0.5,2.81,9.6,,,,,,2.34,,,4.14,,0.6,,2.75,1.8,2.4,,0.9,,1.36,,0.25,,,,1.8,,,,,,,,,,,5,,1,,2.58,0.89,,,8.9,,,,17.25,1.78,,,2.81,,,,1.29,,4.74,,,1.8,,,,,,,0.16,
20085777,2008,Panamá,4.59,3,0.9,0.5,,0.75,11.49,1.36,1.8,2.4,20.4,,1,2.61,,,,,0.5,,1.55,,1.44,3.18,,0.9,,2.75,5.4,3.6,,0.95,0.65,1.36,,0.25,7.5,,,1.8,,,3.79,,,,,6,,,16.5,,0.8,,,1.28,,0.5,14,,1,1.8,23,1.78,0.48,,3.27,,0.5,0.6,0.21,,2.6,,6.32,,,1,,,,0.85,,1.5
20085778,2008,Panamá,,,1.5,0.5,,0.75,25.2,0.68,1.44,,10.2,,1,2.55,,,,,0.5,,7.5,,0.72,,1.36,0.4,,,3.6,4.2,20.7,3.8,0.65,0.68,,0.35,,,,,,,,,,,,,,,17.6,,0.8,,,4.08,,,7,,,0.9,9.2,0.89,,,2.59,,,0.6,0.49,,5.9,,8.05,,,1,,,,0.85,,1.5
20085779,2008,Panamá,5.29,,0.25,0.25,,0.37,9.69,0.68,0.72,2.4,8.5,5.1,0.25,5.93,8.9,,,,0.5,,7.5,,0.72,,,,0.37,1.25,3.6,,21,5.58,0.65,0.68,,,,,,1.2,0.4,,,,,,,,,,3.99,,,,,,,0.48,,,,,8.8,0.89,,,3.5,,,,0.2,,2.6,,1.25,1.34,,0.5,,,,,,
2008578,2008,Coclé,2.96,,1,0.6,,0.6,13.5,,1.85,4.25,30.4,3.2,2,2.5,6,,,,0.5,1,5.2,0.5,1.2,1.5,3,0.5,0.6,2.95,6,3.5,12,10,1.6,1.4,,1,,,1,1,,7.5,2.6,,,,,,0.8,,10,,5.4,,,1.96,,3,6.25,,,3,11.5,2,4,,2.6,,0.9,0.5,0.75,,3.8,,5.4,,,1.5,6.6,,2.5,1.2,0.5,1.8
20085780,2008,Panamá,2.89,4,0.75,0.5,,0.75,9.69,0.68,4.32,3,,,1,6.59,,,,,,,,,1.44,,,,,,3.6,1.2,,1.9,,1.36,,,,,0.35,,,,,,,,,,2,,9.15,,3.2,,0.55,2.21,,,5.1,,,1.8,34.5,0.89,0.96,,1.56,,,,0.49,,,,2.44,,,,,,,1.7,0.48,4.5
20085781,2008,Panamá,1.95,,0.75,0.5,,0.75,9.69,0.68,1.8,2.4,15.3,3.4,0.5,5.16,,,,,0.5,1,6.2,1.17,0.72,,,1.2,,,1.8,0.8,29,13.5,,1.36,,,0.25,,,1.8,1.55,,2.09,,,,,,0.4,,9.6,,1,,1.75,1.93,,,5.25,3,,0.6,10.35,1.78,,,9.13,,,0.6,0.41,,2.41,,1.5,2.01,,1,,,0.4,0.85,0.48,0.75
20085782,2008,Panamá,4.25,,0.8,,,,8.36,,1.85,,3.3,2.68,0.8,2.61,,,,,,,3.75,,,,,0.6,1.2,,1.8,1.68,,3.8,,0.8,,0.25,,,,,0.99,,2.09,,,,,,,,4.75,,,,0.6,2.22,,,1.8,,,1.5,12,0.95,,,4.87,2,,,0.6,,,,,,,0.8,,1,,,0.5,
20085783,2008,Panamá,4.59,,0.45,0.5,,0.75,13.5,0.68,1.8,0.45,9,5.1,0.6,8.4,,,,,0.5,0.75,7.62,1.58,0.72,1.59,6.94,0.45,,0.85,3.6,1.56,3.35,13.5,0.65,0.83,,0.5,0.2,,1.55,,,6,2.09,,0.45,,,,,,5.5,0.86,2,,1.75,1.46,,0.5,7,,1,0.9,8.05,0.89,0.5,,3.05,,0.51,0.6,0.4,,1.3,,12.09,1.34,,0.5,,,0.35,0.85,0.32,0.75
20085784,2008,Panamá,4.59,3,1.5,0.5,,,20.25,,1.8,2.4,27.2,27.2,1,,,,3,,0.5,0.75,5.56,,,,,0.15,,,1.8,2.19,,4.5,,2.49,,,0.5,,,,,,2.09,,1,,,,0.4,,3,,2,,1.8,3.14,,,,6,,0.9,27.6,2.67,0.48,,1.3,,1,0.3,1,,1,,3.95,2.25,,1,,,,0.85,0.72,2.25
20085785,2008,Panamá,3.79,,0.75,0.5,,0.75,6.3,0.68,0.72,1.09,10.2,3.4,0.5,5.1,,,,,0.5,0.75,,,0.72,1.59,,0.45,,,3.6,1.2,,1.8,0.65,0.83,,2.5,,,,,3.75,,,,,,,0.6,,,15.99,1.72,1.4,1,,2.43,,0.5,7,,,1.2,5.75,0.89,0.48,,2.59,,0.5,0.6,0.41,,1.3,,3.65,,,0.5,,,0.35,0.85,0.36,0.75
20085786,2008,Panamá,2.5,,,0.5,,0.5,5.3,,0.4,1.5,9,4,0.5,,,,,,,,2,,,,,0.6,,1.9,0.75,,,2,,2.5,,,,,,1.4,,,1.75,,,,,,,,5.6,,2,0.5,1.7,1.25,,0.3,,,0.5,,7,1.8,,,2.5,,,0.5,0.3,,,,1.7,,,0.8,,,,0.6,,1.6
20085787,2008,Panamá,1.8,,,,,0.75,,,,,10.5,,0.8,,1.75,,,,,,3.51,,,,,0.3,,,1.24,2.7,,0.95,,0.45,5,,,,,,,,,,,,,,,,4.47,,,,1.3,3.36,,0.5,,,,1.6,30,,,,2.54,,,,0.36,,,,1.3,2.25,,,,,,,,
20085788,2008,Panamá,3.5,,0.5,0.6,,0.6,6,,1.78,,13.5,7,0.8,,,,,,,,15,,,,,0.45,,,1.79,0.84,,14.25,,0.7,,1,,,,,,,1.68,,,,,,,,9,,0.4,,1.85,3.99,,1,4.5,,,2.4,27.2,0.8,,,3.5,,,,,,,,,,,,,,,,,1
20085789,2008,Panamá,2.89,,,0.5,,0.75,9.69,,0.72,3.49,4.5,,0.5,2.55,,,,,0.5,,3.89,,,3.18,,0.3,0.37,,0.75,,,9,0.65,0.83,,0.2,,,,,,,2.09,,0.6,,,,0.4,,1.98,,1,,0.65,,,0.5,7,,,0.3,4.6,,,,1.29,,,0.6,0.4,,,,,1.34,,0.5,,,,0.85,0.48,0.75
2008579,2008,Coclé,2.96,,,0.75,,,2.25,,3.7,3.3,4.1,,3,1.95,5,,,,0.25,,1.15,,,3,,0.5,,6,1.2,0.9,22.2,4.5,,,,,,,1.04,3,,,,,,,,,,,3,,2.25,,,1.1,,,,3,,1.5,5.5,,,,1.8,0.9,,,0.25,,,,11,,,4.5,,,,,,
20085790,2008,Panamá,4.59,,0.75,0.5,,0.75,9.69,,0.72,2.4,10.2,,0.5,2.55,,,,,0.5,0.75,5.96,,0.72,,,0.9,0.86,,5.4,6.57,,13.5,0.65,0.83,,,,,0.84,3.6,,,2.09,,1.2,,,,0.4,,22.5,,1,,1.35,5.57,,0.5,5.25,,,3,13.8,0.89,0.96,,2.59,,0.6,0.6,0.42,,0.35,,15.12,,,0.5,,,0.35,0.85,,0.75
20085791,2008,Panamá,9.63,,0.75,0.5,,0.75,36,,5.4,3.78,34,6.8,0.5,3.49,17.9,,,,0.5,0.75,9.8,,1.44,3.9,3.4,3,2.22,6.25,3.6,,16.5,8.55,0.65,4.15,,,2.5,,1.19,,,10.4,2.09,,0.9,,,,0.8,,13.23,1.72,2,3,3.1,1.88,,0.5,,3,2,1.5,17.25,4.45,0.96,,6.09,,0.5,0.6,0.21,,2.6,,20.7,3.66,,0.5,,,0.7,0.85,0.48,1.5
20085792,2008,Panamá,1.95,,0.35,0.25,,0.4,27,,5.4,1.09,8.5,,0.3,2.98,7.56,,,,0.5,0.75,3.29,,0.72,1.2,2.2,0.45,0.74,,5.4,10.95,,2.7,0.75,,,0.8,0.8,,1.05,,,,2.09,,1.2,,1.25,,0.4,,8.25,,1.6,,,4.12,,0.3,10.5,1.05,1,0.75,9.2,2.67,,,1.3,,,1.2,0.4,,,,9.6,3.96,,0.3,,,0.7,,0.36,2.25
20085793,2008,Panamá,6.59,1,0.75,0.5,,0.75,22.5,0.68,3.6,1.09,11.25,8.5,0.5,2.05,4.8,,,,0.5,1,2.41,,1.44,,1.7,0.3,0.74,,1.8,1.46,,1.8,0.65,3.32,,,,,,,0.35,,2.09,,,1.5,,0.5,0.4,,6.55,,1,,2.2,3.36,,0.48,10.5,,1,,9.2,2.67,0.5,,1.3,,0.51,0.6,0.21,,,,2.6,,,0.5,,,0.35,0.25,,0.75
20085794,2008,Panamá,3.79,4,1.49,0.5,,0.75,27,,1.42,3.17,6.8,3.4,1.13,2.68,17.7,,4,,0.5,0.75,1.89,,,1.95,,0.9,2.08,,1.48,1.95,20,,0.73,1.28,,0.25,0.3,,0.75,,,,2.09,,,,,,,2.76,6,,2.21,,2.2,1.65,,1.16,,,1,1.5,4.6,1.54,0.51,,2.59,,,,0.36,,0.39,,2.6,0.39,,0.5,3,3.3,0.7,0.35,1.2,0.75
20085795,2008,Panamá,1.55,,,,,,5,,0.72,,11.25,6.9,,3.3,,,,,,,1.1,,0.68,,,0.45,0.4,,1.69,0.84,,3.4,0.8,0.8,,0.25,0.25,,,,,,1.75,,,,,,,,2.85,,0.8,,,2.2,,0.4,,,,,8.4,0.9,0.65,,5.69,,,,,,,,,,,1.2,,,,0.5,,
20085796,2008,Panamá,4.25,,0.5,,,,15.3,1.2,1.69,,13.5,13.2,0.8,9.5,,1.8,,,0.35,,5,,,,,0.9,,,3.38,2.25,8,3,,1.6,,,,,,,,,1.65,,,,,,,,5.1,,4,,1.65,4.9,,0.4,3,,,2.4,9.9,1.8,1.2,,7,,,,0.25,,,,7.5,2.25,,4.8,,,,0.5,,
20085797,2008,Panamá,3.7,0.75,,,,,12.5,0.6,1.7,,12.6,,0.5,,,,,,,,3.3,,,,,0.3,,,1.69,3.15,,1.8,,1.6,,0.25,,,,,,,2.2,,,,,,,,3.52,,2,,0.8,1.1,,0.4,,,,1.2,8.8,1.8,1.8,,4,,,,,,,,9.75,1.26,,2.6,,,,0.5,,
20085799,2008,Panamá,3.25,,0.5,,,,10.75,,1.7,,13.5,,0.5,,,,,,,,2.2,,,,,0.75,,,1.7,,3.3,2.7,,0.8,,,,,,0.9,,,2.09,,,,,,,,6.75,,2,,,1.65,,,,,1.5,2.4,11,0.9,,,3.5,,,,,,,,3.14,,,,,,,,,
2008580,2008,Coclé,,,,0.3,,,2.6,,,3,2.8,1.8,,,,,,,,,3.6,,,,,,,,,0.9,,1.9,,,,,,,,,,,,1.25,,,,,,,2.18,,1.6,,0.9,,,,10,,0.5,,4,,,,2.2,,,,0.5,,,,,,,,,,,0.5,,
20085800,2008,Panamá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.9,,,,,,,,0.3,,,,,,,,,,,5.07,,,,,,,,,,,0.7,,,,,,,,,,,,,3,,,,,,,,,
20085801,2008,Panamá,3.79,,0.4,,,,7.95,,1.14,,9,4.4,0.6,3.58,,,,,,,2.2,,0.68,,,0.3,,,1.7,1.35,,3.6,,0.9,,,,,,3,,,,,,,,,,,1.76,,,,,1.65,,0.4,,,,1,6.6,1.6,0.65,,4,,,,,,,,4.35,0.9,,,,,,,,
20085802,2008,Panamá,3.75,2,,,,,9.92,0.6,1.7,,6.75,,,5.9,3.3,,,,,,2.2,,,1.38,0.9,,,,1.69,1.26,3.5,13.5,,0.8,,,,,,,,,,,,,,,,,6.16,,1.6,,,3.6,,0.4,,,,1.6,8.8,0.95,1.3,,3.5,,,,,,,,11.25,2.7,,1.2,,,,0.5,,
20085803,2008,Panamá,3.49,,0.4,,,,3,,1.69,,9,6.6,1.02,2,,,,,,,2.2,,1.36,,,0.45,0.42,,1.69,2.1,,6.3,,1.6,,,,,,,,,,,,,,,,,1.7,,0.8,,0.9,,,,,,1,1.6,6.3,1.8,0.65,,6.6,,,,,,,,3.4,1.68,,1.8,,,,,,
20085804,2008,Panamá,3.55,,,,,,10.25,,1.69,1.68,6.75,6.56,1,,,,,,0.5,,,,,1.05,,0.6,2.08,,3,3.68,,4.75,,,,,,,,1.2,,,,,,,,0.5,,,5,,1.6,,2.3,2.22,,0.4,,,,,13.2,,2.2,,3.5,,,,,,,,3.85,3.6,,1.8,,,,0.5,,
20085805,2008,Panamá,0.9,,,,,,7.5,,0.4,,4.4,2,0.5,,19.2,,,,0.5,,1.1,,,,,0.3,,,0.9,,,,,,,,,,,,,,,,,0.5,,0.25,,,7.5,,0.8,,,1.65,,,1,,,1.6,5.5,,,,2,,,,,,,,1.3,,,0.9,,,,,,
20085806,2008,Panamá,7.58,,,,,0.5,33,0.96,5.07,,26.4,6.6,2,6.36,,,,,0.75,0.25,5.95,,1.36,,,4.5,,,5.07,,,9.5,,1.8,,,,,,,,,,,,,,,,,8.8,,4,,1.72,5.5,,,,,1.6,2,19.8,2.2,1.8,,10.5,,,,,,,,19.5,2.7,,5,,,,1.5,,
20085807,2008,Panamá,3.79,,,,,,4.5,,1.2,,11.5,,0.6,,,,,,0.25,0.25,5,,1.4,,,0.45,,,1.7,1.7,,1.8,,1.8,,,,,,2.1,,,,,,,,,,,1.7,,2,1.5,1.2,,,,4,,1,1.6,8.8,2,1.8,,1.6,,,,,,,,3,,,1.8,,,,1.2,,
20085808,2008,Panamá,,2,0.4,,,,10.5,1.2,3.4,,13.2,5,1.2,1.79,,,,,0.6,,5.2,,0.6,,,2.4,,,3.4,5.76,,9,1,1.6,,,,,,0.75,,,2,,,,,,,,3.52,,1.6,,,,,,2.25,,,3,8.8,1.8,1.8,,3.5,,,,,,,,5.2,1.35,,,,,,1,,
20085809,2008,Panamá,3.79,,0.4,,,,9.52,0.6,1.69,,6.75,4.4,0.98,1.18,,,,,0.25,0.5,1.1,,,,,0.6,0.8,,1.69,2.7,15,1.8,,0.8,,,,,,1.25,,,,,,,,,,,3.3,,1.2,,1.97,1.65,,,2.5,,,,8.8,0.9,0.65,,4,,,,,,,,1.7,1.68,,,,,,0.5,,
2008581,2008,Coclé,3.6,,2,,,,10,0.57,1.75,1,20,4,3,,,,,,0.5,0.5,2.15,,0.83,1.49,,,,,0.6,1.42,4.3,13.5,0.5,1.6,,,,,,,1.64,,1.7,,0.5,,,,,,7.5,,,,0.75,0.88,,,,,,,21.5,0.83,,,9.72,,,0.5,0.25,,2.08,,2,1.78,,1,,,,1,,
20085810,2008,Panamá,,,,,,,2.34,,0.38,,4.5,,0.5,,,,,,,,1.1,,,,,,,,1.69,,,0.9,,0.85,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,4.4,0.9,0.65,,3.5,,,,,,,,2.55,,,0.9,,,,,,
20085811,2008,Panamá,3.5,,0.5,,,0.5,4.12,,1.69,,6.75,4,0.5,,,,,,0.5,0.25,3.7,,,1.1,,0.75,,,1.6,2.4,,3.6,,0.8,,,,,,1.75,,,,,,,,0.25,,,3.52,,1.2,,,1.6,,,,,,1,7.7,0.8,,,1.75,,,,,,,,3,,,0.9,,,,0.6,,
20085812,2008,Panamá,3.79,1,,,,,4.18,,,,9,,0.6,,9.6,,,,0.25,0.25,4.4,,,,,0.3,,,0.9,1.56,,1.8,,0.8,,,0.5,,,0.75,,,,,,,,,,,2.2,,0.8,,,0.7,,,,,,0.6,6.6,0.95,0.6,,3.5,,,,,,,,9.75,0.9,,0.9,,,,,,
20085813,2008,Panamá,3.79,1.8,,,,,4.96,0.48,0.37,,11.25,4.8,0.6,2.35,,1.95,,,0.25,0.25,4.91,,0.6,1.1,,0.45,0.5,,3.6,1.5,8.89,2.7,,0.8,,,0.5,,,0.6,,,,,,,,0.6,,,2.2,,1.35,,0.9,1.65,,,,,,,5.5,1.8,1.95,,3.5,,,,,,,,4.95,2.1,,1,,,,0.6,,
20085814,2008,Panamá,4.65,1.5,0.25,0.2,,0.25,4.5,0.9,0.4,,6,10,0.3,2.65,,,,1.2,,0.2,3.5,1.6,0.9,,1.5,0.6,0.9,,3,,7,1.9,0.6,1.1,,0.3,0.3,,1.8,1.25,,,1.8,,,,,1,,,0.6,,2,,0.98,1.2,,0.25,,1.62,0.4,0.3,11,1.9,1.92,,4.65,,0.4,0.25,0.3,0.8,0.85,,1.65,,,0.6,,,0.2,0.25,,0.6
20085815,2008,Panamá,1.62,0.5,0.2,0.25,,0.2,2.25,,0.25,0.9,5,4,0.2,,,,,,,,0.7,,,,,0.15,0.4,,0.36,0.9,15,0.95,0.4,0.3,,,,,0.3,,,,0.6,,,,,0.35,0.3,,1,,0.8,,0.8,0.8,,,1,,0.5,0.25,4,0.5,0.45,,1,0.2,,0.3,0.15,,,,0.8,0.5,,0.35,,,0.2,0.2,,0.5
